,,,,,,,,,2015 Base Runs,,,2016 Base Runs,,,,,,,Starting Pitcher,,,,Win Percentage,,,,Win Expectancy Calc,,,,,,,,,,,,,,
,,,,,,,,,G,BR Scored,BR Allowed,G,BR Scored,BRS/G,BR Allowed,BRA/G,SIERA Avg.,Team,IP,SIERA,SIERA Adj.,Pitcher,BR Scored,BR Allowed,BR SIERA,Win%,Bottom,Top,AVG,Win Exp.,Lines,Implied Odds,Edge,Units,TeamRNK,,Net RNK,,,,
7:10PM,,956 Miami Marlins T Koehler - R,  +1_ -110 , +178 Listed , u7 +105 ,,,,162,612.66,655.5,53,230.02,4.34,213.06,4.02,4.432346209,Marlins,54,5.55,1.117653791,Tom Koehler,675.954,652.518,160.9421459,0.416085308,0.386229394,0.409010224,0.397619809,0.397619809,178,0.35971223,3.790757868,2 Units Marlins,X,10,-1,H,LOSS,,
Fri 6/3,,957 Washington Nationals G Gonzalez - L,  -1_ +105, -172 Listed , o8_ -105 ,,,,162,703.44,621.9,54,244.62,4.53,178.2,3.3,3.5444,Nationals,58,3.9,0.3556,Gio Gonzalez,724.734,560.79,51.2064,0.576742041,0.60604135,0.584405595,0.595223472,0.595223472,-172,0.632352941,-3.712946869, ,,3,27,A,,,
7:10PM,,958 Cincinnati Reds B Finnegan - L,  +1_ -125 , +162 Listed , u8_ -115 ,,,,162,742.38,747.9,53,199.28,3.76,322.24,6.08,4.918017481,Reds,63,5.19,0.271982519,Brandon Finnegan,649.098,913.842,39.16548272,0.331193616,0.39395865,0.415594405,0.404776528,0.404776528,162,0.381679389,2.30971382,1 Unit Reds,X,30,-27,H,WIN,,
Fri 6/3,,959 San Francisco Giants J Cueto - R,  -1_ +145, -105 Listed , o7 -130 ,,,,162,702.9,639.3,55,238.15,4.33,220.55,4.01,3.797504537,Giants,81.2,3.35,-0.447504537,Johnny Cueto,701.892,646.524,-64.44065336,0.584800977,0.476407062,0.473976386,0.475191724,0.475191724,-105,0.512195122,-3.700339814, ,,8,-6,A,,,
8:15PM,,960 St. Louis Cardinals A Wainwright - R,  +1_ -165 , -105 Listed , u7 +110 ,,,,162,669.06,591.03,54,281.88,5.22,213.84,3.96,4.140286086,Cardinals,64.2,4.72,0.579713914,Adam Wainwright,792.666,626.373,83.47880364,0.550312321,0.523592938,0.526023614,0.524808276,0.524808276,-105,0.512195122,1.261315424,1 Unit Cardinals,X,2,6,H,LOSS,,
Fri 6/3,,961 Atlanta Braves J Teheran - R,  +1_ -125, +180 Listed , o7 +105 ,,,,162,572.16,766.32,52,153.4,2.95,232.96,4.48,4.430965018,Braves,68.1,3.9,-0.530965018,Julio Teheran,506.178,737.928,-76.45896261,0.379973227,0.374758441,0.38738682,0.381072631,0.381072631,180,0.357142857,2.392977361,1 Unit Braves,X,29,-24,A,LOSS,,
10:10PM,,962 Los Angeles Dodgers K Maeda - R,  -1_ +105 , -190 Listed , u7 -125 ,,,,162,714.06,592.74,54,210.06,3.89,174.42,3.23,3.345292936,Dodgers,57,3.9,0.554707064,Kenta Maeda,655.344,544.104,79.87781721,0.522420325,0.625241559,0.61261318,0.618927369,0.618927369,-190,0.655172414,-3.624504454, ,,5,24,H,,,
Fri 6/3,,965 New York Yankees N Eovaldi - R,  +1_ -200, +109 Listed , o8 -115 ,,,,162,766.56,696.12,52,190.84,3.67,222.04,4.27,3.664610229,Yankees,60.2,3.43,-0.234610229,Nathan Eovaldi,646.146,693.054,-33.78387302,0.490801687,0.437962633,0.441227428,0.43959503,0.43959503,109,0.4784689,-3.887386935, ,,23,-12,A,,,
7:05PM,,966 Baltimore Orioles C Tillman - R,  -1_ +170 , -119 Listed , u8 -105 ,,,,162,688.14,716.7,51,238.17,4.67,227.46,4.46,4.415781537,Orioles,64.2,4.17,-0.245781537,Chris Tillman,736.02,720.774,-35.39254138,0.532565229,0.562037367,0.558772572,0.56040497,0.56040497,-119,0.543378995,1.70259744,1 Unit Orioles,X,11,12,H,WIN,X,
Fri 6/3,,967 Chicago White Sox C Rodon - L,  +1_ -165, +120 Listed , o8_ -115 ,,,,162,627.84,710.58,54,216,4,205.2,3.8,4.090184606,WhiteSox,57.1,4,-0.090184606,Carlos Rodon,641.952,644.094,-12.98658323,0.507794004,0.473279431,0.471312108,0.472295769,0.472295769,120,0.454545455,1.775031479,1 Units WhiteSox,X,13,8,A,LOSS,,
7:05PM,,968 Detroit Tigers J Zimmermann - R,  -1_ +145 , -130 Listed , u8_ -105 ,,,,162,730.86,795.42,52,237.64,4.57,239.72,4.61,4.30690309,Tigers,60.2,4.33,0.02309691,Jordan Zimmermann,737.496,761.4,3.325955056,0.483418562,0.526720569,0.528687892,0.527704231,0.527704231,-130,0.565217391,-3.751316064, ,,21,-8,H,,,
Fri 6/3,,969 Kansas City Royals E Volquez - R,  +1_ -150, +157 Listed , o7_ +100 ,,,,162,704.4,683.88,52,218.4,4.2,214.76,4.13,4.573111027,Royals,67.1,4.17,-0.403111027,Edinson Volquez,687.6,673.506,-58.04798787,0.5505364,0.452676908,0.45376181,0.453219359,0.453219359,157,0.389105058,6.411430046,3 Units Royals,X,20,-5,A,LOSS,X,
7:10PM,,970 Cleveland Indians D Salazar - R,  -1_ +130 , -167 Listed , u7_ -120 ,,,,162,690.33,622.63,51,229.5,4.5,210.63,4.13,3.857374477,Indians,60.1,3.62,-0.237374477,Danny Salazar,717.399,655.131,-34.18192469,0.565673639,0.547323092,0.54623819,0.546780641,0.546780641,-167,0.625468165,-7.868752362, ,,15,5,H,,,
